R,P,U
0.7645164450696551,0.08355017437539838,0.77527085346067
0.7701601341048746,0.08260702920828422,0.7748248167577343
0.7758612527992707,0.07766635550286508,0.7835724489456561
0.7585746825473052,0.08192063442885594,0.7712531669109294
0.7238503544618521,0.08975024922001358,0.7722664776755495
0.7374617430541833,0.08737171956128033,0.7739922606434491
0.7710838572658143,0.07847398279419614,0.7839869159397013
0.7514238092946477,0.08636909046280584,0.7749551849789279
0.737696041399941,0.08770670430429693,0.7742995308826188
0.7557807317872576,0.08050814071132595,0.771849762162891
0.7636200815552601,0.08207499379197682,0.774277011130891
0.764202109278585,0.08166740546281252,0.7719035047655345
0.7384679376980126,0.08639042984443891,0.7723546756115766
0.7621381360954358,0.08303593927598092,0.7737050961726946
0.7266826001166096,0.08311396090964518,0.7822558223968363
0.7048100713732545,0.09524405554063117,0.7747939012113424
0.7638708829407027,0.08034025418606018,0.7725473169968228
0.7755105960512007,0.07276600778414381,0.7790664700451942
0.727211116974982,0.09107451807790154,0.7716511183669874
0.7723467084928419,0.07688123205033458,0.7715437747588917
0.7143851934188695,0.08775258494459585,0.7823774987592217
0.7045228612089369,0.09393613736764476,0.7729692929296756
0.7708658324969957,0.0725862119286423,0.7793718502324414
0.771833544883829,0.07626291327182987,0.783095694433434
0.7391253830482888,0.08685755117006011,0.7728400919907864
0.7399696543041184,0.07869515726977085,0.7806118251548626
0.6956266923525046,0.09592691160731212,0.7737980322985746
0.7218352538462274,0.09901259539905465,0.7759198192792397
0.7619656894241831,0.07537177228901047,0.7828914426234685
0.7769127233711417,0.07343669062821682,0.7807967033678053
0.7281449564550186,0.09041863823645643,0.7720560658216172
0.7339942008865622,0.08644202457193584,0.7733558754197204
0.7937492650054363,0.07108465773001157,0.7781051091632567
0.7221205711047444,0.08875551885423003,0.7727461208546847
0.7624279654353967,0.07820437141136746,0.7719602148043341
0.7445686689391776,0.08520754916100468,0.7755848263606552
0.7374016691056227,0.08414022840653565,0.7724150672264869
0.7418099807626939,0.08550801238099412,0.7717676198975097
0.7889463535704881,0.07366198027475561,0.7823580738394976
0.7377747343461519,0.08492800528525464,0.7721643699324225
0.7624405250083548,0.07951590719592228,0.7717027898196731
0.7639987409434648,0.07458322964890296,0.7799220416636171
