w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.22,3.3,4,0.7346805786039622,0.1160423021424172,0.7753825008395692,0.7237035018575322,0.6726972497018254,0.7423367426970151
0.225,3.3,4,0.7345173683785765,0.1166013424516886,0.7749044663789247,0.7236646421534587,0.6731733535429807,0.7461072919851557
0.215,3.3,4,0.7349078250695259,0.1155519837251257,0.7760204346102986,0.722229144116002,0.6707446047413838,0.7368756597804547
0.23,3.3,4,0.734422365251436,0.1172333968302027,0.7745988618430388,0.7221755688293747,0.6721628489580445,0.7479500393071483
0.235,3.3,4,0.7343996184376286,0.1179426575910421,0.7744778779790077,0.7192555922981089,0.6696366146686188,0.7476597948224195
0.21,3.3,4,0.7351948226573888,0.1151260025914969,0.7768054273284712,0.7191517428735997,0.6673158639124787,0.7299791064878685
0.15,4.5,4,0.7478815155762196,0.0818743427922007,0.7873877494994195,0.7174383134357756,0.6112663027921432,0.7620621076536611
0.225,3.25,4,0.7337572054106515,0.1187737867055006,0.776370513670582,0.7056150312918119,0.6639002910483361,0.7288275254100935
0.22,3.25,4,0.7339324721112934,0.1182144055499558,0.7769115777570993,0.7048156730163901,0.6629890063045971,0.724675340568915
0.23,3.25,4,0.7336496789018523,0.1194062354087626,0.7760001696342222,0.7048083314415545,0.6632693704049315,0.7311940261491967
0.235,3.25,4,0.7336139436202643,0.1201159250494014,0.7758127313715896,0.7024217722474233,0.6610737748491369,0.7315703443271633
0.215,3.25,4,0.7341713065818352,0.1177238185531093,0.7776108388573523,0.7023502087480631,0.6605427075637278,0.7189681627224427
0.145,4.5,4,0.7485806702746922,0.0818180421172253,0.7890164824022486,0.6972742501363608,0.597517193442161,0.7518816403195646
0.23,3.2,4,0.7329353089317092,0.1216822231297327,0.7777331823926126,0.6836681756101227,0.6513826355488149,0.7122578528579017
0.225,3.2,4,0.7330559288674563,0.1210495100464967,0.7781717455121587,0.683599115913022,0.6515236754016908,0.7094457592193084
0.235,3.2,4,0.732886013156645,0.1223922022160674,0.7774757833998015,0.6819925918351283,0.6496183998578609,0.7132347554719929
0.22,3.2,4,0.7332438202104445,0.1204899091313251,0.7787792946563645,0.6817587729810455,0.6500601394491626,0.7049984462035257
0.24,3.2,4,0.7329119660404854,0.123183493798638,0.7774113627213903,0.6785609923348427,0.6461929101998671,0.7122093245873642
0.215,3.2,4,0.7334948090904679,0.1199991664157506,0.779543316982851,0.6780974914341763,0.6469997983349577,0.699136514308881
0.14,4.5,4,0.7492835217372354,0.0817545563124699,0.7906401315775494,0.6773129248491214,0.5838638129223996,0.7423101951974235
0.215,4.5,6,0.7350563824433198,0.0960850911936281,0.7905704076172677,0.6650117827005716,0.6673658709296688,0.6911980697307296
0.22,4.5,6,0.7346903563128128,0.0970846564499797,0.7903405641677206,0.6649112792133373,0.6687036077643531,0.6892741984420682
0.21,4.5,6,0.7354998311812513,0.0951614025791614,0.7909791220734054,0.6623829324993323,0.6637309021116151,0.691836725361064
0.225,4.5,6,0.7344059760768169,0.0981645538250654,0.7903020331324813,0.6618999689842902,0.6675894266499159,0.6859656187543695
0.23,3.15,4,0.732289905322277,0.1240645952286553,0.7798189275566136,0.6580087433901383,0.6361487315688493,0.6914865210546677
0.135,4.5,4,0.7499850649437273,0.0816789432993427,0.7922447967347999,0.657830902123513,0.5704881657007949,0.7334146399464552
0.235,3.15,4,0.7322264900390216,0.1247747108516879,0.7794881336342159,0.6572415875905352,0.6349303518068518,0.6929830365991205
0.205,4.5,6,0.736016364001046,0.0943090388078167,0.7915539427364878,0.6572295604777315,0.6579714572689299,0.6913081186691347
0.225,3.15,4,0.7324241754124742,0.1234317604091913,0.7803291147926981,0.6568609983924361,0.6356804859475181,0.6883161779492034
