w,r,n,R,P,U,worst_regret_reasonable,worst_regret_fullsimplex,dist_utopia,freq_optimal
0.2,3.4,10,0.7250083705518207,0.1326595160421964,0.8085651801504382,0.5310585646439334,0.7448684548821983,1.015817382448739,0.0
0.2,3.45,10,0.7258348059456006,0.1308005303199307,0.8078062219858476,0.5203529138134412,0.7295137659003178,0.9922322019618618,0.0
0.2,3.5,10,0.7267250502249223,0.1290302091829366,0.8073406241534862,0.5141088118141296,0.7200941295618589,0.974606539385938,0.0
0.2,3.55,10,0.7276680673743157,0.1273448119324716,0.8071431282890291,0.5119274203933483,0.7160985370306402,0.9626725783171551,0.0
0.2,3.6,10,0.7286526484470965,0.1257404992522506,0.8071875525592105,0.5133963153587654,0.7169972965192476,0.9561216971833084,0.0
0.2,3.65,10,0.7296674482316445,0.1242133400574706,0.8074469045121211,0.5180911989840006,0.7222443163940964,0.9545892216474865,0.0
0.2,3.7,10,0.7307010224076126,0.1227593184717838,0.8078934971500297,0.5255776589538507,0.7312794534762344,0.9576444642511501,0.0
0.2,4.5,4,0.7421909544345011,0.0831450141368211,0.7739272048904721,0.1105591335081949,0.5448833154284737,0.5534564471306634,0.01282051282051282
0.2,4.5,6,0.7366015348927336,0.0935233598219403,0.7922818124323434,0.2782441424469419,0.41543521527299077,0.617435343044757,0.0
0.205,3.2,10,0.722085699387914,0.1425934030439801,0.8144444199646093,0.619331123581175,0.8638129540762762,1.1783270163648165,0.0
0.205,3.25,10,0.7225378518567895,0.1403426213161403,0.8123314884825816,0.5877478806476711,0.8210656627758937,1.1291484743052818,0.0
0.205,3.3,10,0.7230949663200604,0.1381942285260046,0.8105984841288337,0.5620081688812055,0.786004780506582,1.0867734055018219,0.0007541478129713424
0.205,3.35,10,0.7237470378812103,0.1361449540155652,0.8092247953985203,0.5417821076564225,0.7582133103097306,1.0509215268437535,0.0
0.205,3.4,10,0.7244837505705555,0.1341914026490483,0.8081884864901039,0.5267201135977716,0.7372474630202822,1.021339977875629,0.0
0.205,3.45,4,0.737938766675151,0.1088325891024159,0.7744679596484394,0.1957968431491963,0.4385281303830889,0.5926951739455047,0.0
0.205,3.45,10,0.7252945108347141,0.1323300610225008,0.8074663925799878,0.5164543572502043,0.7226385847937412,0.997791760304711,0.0
0.205,3.5,4,0.7387875462318125,0.1070404356236775,0.773923987400358,0.18279843067939663,0.4597576978246904,0.5939133186944916,0.0
0.205,3.5,10,0.7261684820193257,0.1305573038481255,0.8070342202198538,0.5106002945349155,0.7138951882720088,0.9800395609504942,0.0
0.205,3.55,4,0.7396413144825613,0.1053337088528573,0.7736077212721079,0.17125464234690238,0.48111204185491263,0.5978435954148853,0.0
0.205,3.55,10,0.7270946197212584,0.1288694005012133,0.8068666524016008,0.5087582662105133,0.7105050781807168,0.9678269593598928,0.0
0.205,3.6,4,0.7404884439332406,0.1037084298912314,0.7734920552898858,0.16099871320251077,0.5023003370533743,0.6038950517883751,0.0
0.205,3.6,10,0.7280617078903104,0.1272625217158104,0.8069374578270126,0.510515158464946,0.7119375619935957,0.9608596513844144,0.0
0.205,3.65,10,0.729058395547885,0.1257327464193829,0.8072196038809277,0.5154461171936058,0.7176457355233815,0.9587894445064702,0.0
0.205,4.5,2,0.7597166139045542,0.0765372399908377,0.780307157145622,0.41659289293946944,0.983232904268075,0.9983916984337889,0.0
0.205,4.5,4,0.7418596275471375,0.0834529898183991,0.7731726369898488,0.10307309324512381,0.5365962090234048,0.5448774045573517,0.030165912518853696
0.205,4.5,6,0.736016364001046,0.0943090388078167,0.7915539427364878,0.26739842023183247,0.4007094855547694,0.6013620612086114,0.0
0.21,3.15,10,0.7213623059134864,0.1465869284036755,0.816436623339176,0.6515164301517232,0.9041177622097073,1.2399912585337514,0.0
0.21,3.2,10,0.7216874700517147,0.1442287918318184,0.8139792016651192,0.6144794829023226,0.8544009961705293,1.1846371034144105,0.0
0.21,3.25,10,0.7221267156950427,0.1419760417190064,0.8119178656054764,0.5835506180691419,0.8126975458887564,1.1362371042568264,0.003770739064856712
0.21,3.3,4,0.7351948226573888,0.1151260025914969,0.7768054273284712,0.2437727772479096,0.4704811768433703,0.6071633740163996,0.0
0.21,3.3,10,0.7226703678383551,0.1398255486631354,0.810233319073261,0.5584196431740198,0.7786170269821243,1.094473287438314,0.0030165912518853697
0.21,3.35,4,0.7359699503146439,0.1130545516801836,0.7754788376441811,0.22566560482044382,0.4456062059058664,0.5964946605559833,0.0
0.21,3.35,10,0.7233084089848392,0.1377740528163829,0.8089048601383547,0.5387554039322604,0.7517406130737375,1.0590636017744264,0.0
0.21,3.4,4,0.7367837187301827,0.1110797703077944,0.7744524295396776,0.20947413834896042,0.42189208891771085,0.5905854152636517,0.0
0.21,3.4,8,0.7306388232760891,0.1325789584487658,0.806533448723942,0.5254852253693139,0.7037639439828514,1.0115721907121835,0.0
0.21,3.4,10,0.7240305115926406,0.1358181698988555,0.8079104710150818,0.5242071636381556,0.7316228563551495,1.0297562027800722,0.0
0.21,3.45,4,0.7376248488572092,0.1091980036525794,0.77370180687822,0.19504442542400144,0.43067645743124755,0.5886271458226339,0.0
0.21,3.45,10,0.7248260716264688,0.1339543973888941,0.8072269135662044,0.5144060632026872,0.7177936197536521,1.0063180023603313,0.0
0.21,3.5,4,0.7384819059135412,0.107405485370392,0.7732015510336622,0.18221766993127766,0.4521130606527791,0.5898994886026289,0.0
0.21,3.5,10,0.7256842431030629,0.1321791208970643,0.8068298298981209,0.5089666555625321,0.7097601121010998,0.9885185409802658,0.0
0.21,3.55,4,0.7393433367153845,0.1056983443741167,0.7729253308271824,0.17083079268248538,0.47365905944654885,0.5937694157792839,0.0
0.21,3.55,10,0.7265939735001962,0.1304886206896878,0.8066938475966307,0.5074885076736563,0.707009017187259,0.9761111194088729,0.0
0.21,3.6,4,0.7401975075423544,0.1040726117648449,0.7728460163120079,0.16071700786723056,0.49502347266254204,0.5996791233487889,0.0
0.21,3.6,10,0.72754403991377,0.1288790783713549,0.8067926891355409,0.5095578632110701,0.7090087072350975,0.968813747927463,0.0
0.21,3.65,4,0.741032742397047,0.1025242278970258,0.7729357958987194,0.15170641299138263,0.5159142617232689,0.6071277887948093,0.0
0.21,4.5,2,0.7597224115945322,0.0763247423877054,0.7797845202318276,0.4145914393436144,0.9833779153600921,0.9967402755579089,0.0
0.21,4.5,4,0.7415903835020228,0.0838135476870081,0.7725802110738818,0.09726884587370688,0.5298619108547549,0.5384805804751431,0.06711915535444947
0.21,4.5,6,0.7354998311812513,0.0951614025791614,0.7909791220734054,0.2590610420271833,0.3890801324312669,0.5891930977428277,0.0015082956259426848
0.215,3.15,4,0.7328889417921661,0.1223812982651163,0.7818386655773608,0.31008251834954437,0.5576062291623067,0.6708857838812881,0.0
0.215,3.15,10,0.7210497996185831,0.1483232598069186,0.8160197035150509,0.64786624615369,0.8956829438910008,1.2481561037254734,0.0
0.215,3.2,4,0.7334948090904679,0.1199991664157506,0.779543316982851,0.2856251595662581,0.5290004532790125,0.6417882544707549,0.0
0.215,3.2,10,0.7213630877105921,0.1459632963756476,0.8136186967578345,0.6115543770631346,0.8471075233731403,1.193772283464028,0.005279034690799397
0.215,3.25,4,0.7341713065818352,0.1177238185531093,0.7776108388573523,0.2634970416059913,0.5016769904603691,0.6199125037218807,0.0
0.215,3.25,10,0.7217899119656775,0.1437085638154535,0.8116107096567928,0.5813059298450742,0.813714210212515,1.1461869279049897,0.006787330316742082
0.215,3.3,4,0.7349078250695259,0.1155519837251257,0.7760204346102986,0.24356167906511725,0.47559656155322255,0.6043425617367214,0.0
0.215,3.3,10,0.722320584171029,0.1415559442455621,0.8099763504888249,0.5568093656106968,0.7878645272931152,1.1050789730945278,0.00904977375565611
0.215,3.35,4,0.7356934933845778,0.1134802602646611,0.7747499930715046,0.22567621546609481,0.4507183177154628,0.5941745540925266,0.0
0.215,3.35,10,0.7229450745776581,0.1395021894111878,0.8086948299687654,0.5377323015511614,0.7632020592911923,1.0701654400620813,0.0
0.215,3.4,4,0.7365172133851685,0.1115051220363513,0.7737761841407449,0.20969192394970446,0.42699991543113847,0.5885577377564506,0.0
0.215,3.4,8,0.730271267442439,0.1339492863635367,0.8061009817840145,0.5206976297149112,0.6965201499228819,1.014431349968656,0.0
0.215,3.4,10,0.723653044406358,0.1375439266766936,0.8077440514791175,0.5237228938525199,0.7396863059887611,1.0411957300059944,0.0
0.215,3.45,4,0.7373676958574261,0.1096229248652316,0.7730745596766155,0.195454730018732,0.42424457896662154,0.5867211390764403,0.0
0.215,3.45,8,0.7308152799970208,0.1320494388788191,0.8055381978923831,0.511482062393615,0.6836287538096393,0.9944914893785635,0.0
0.215,3.45,10,0.7244338794656207,0.1356776652024383,0.8071007067747915,0.5144113007346218,0.717275347717753,1.0179402140587346,0.0
0.215,3.5,4,0.7382334972065616,0.107829913140311,0.7726196591580801,0.18280575432223214,0.44589989333917485,0.5879835231204039,0.0
0.215,3.5,10,0.7252767247484402,0.133899802295668,0.80674037676372,0.5094112195720044,0.707950361417515,1.0001741623843956,0.0
0.215,3.55,4,0.7391030568035796,0.106122226576022,0.7723851196653555,0.17158187333424538,0.46764920853474135,0.591748783217132,0.0
0.215,3.55,10,0.7261705199031276,0.1322066299207915,0.8066376368953075,0.5083214912099122,0.705871803205596,0.9876588951227087,0.0
0.215,3.6,4,0.7399647348598952,0.1044959071263237,0.7723437896772586,0.1616162957455681,0.4892013916262531,0.597491327361413,0.0
0.215,3.65,4,0.7408068506927731,0.1029469060337842,0.7724678461768576,0.15273915223075765,0.5102642868472914,0.6047365762197471,0.0
0.215,4.5,2,0.7597880581803386,0.0761546973705232,0.7794424920802372,0.4142740979627616,0.9850198595018288,0.997249435022677,0.0
0.215,4.5,4,0.7413876812265994,0.0842314491823132,0.772162889677775,0.09327333735785653,0.5247919470545035,0.5342044600072824,0.14630467571644043
0.215,4.5,6,0.7350563824433198,0.0960850911936281,0.7905704076172677,0.2534383465276331,0.38081131914328087,0.5811820178341068,0.006033182503770739
0.22,3.05,4,0.7316393164840526,0.127968730517025,0.7866159857172798,0.36617150074689686,0.6247027816909797,0.7481187852453692,0.0
0.22,3.1,4,0.732087077766878,0.1253640195891018,0.7836127571932535,0.3369724793810476,0.5934241700285819,0.703659778637251,0.0
0.22,3.1,10,0.7206353367723578,0.1526324047631146,0.8184691017057979,0.6881840300673758,0.9452373846578225,1.3196662992954413,0.0
0.22,3.15,4,0.732625245965873,0.1228720727303307,0.7810065274711753,0.3103411487815042,0.5634996831140284,0.66785421073314,0.0
0.22,3.15,10,0.7208149231327996,0.1501626025567829,0.81571836950295,0.6463147950154878,0.8912173869681291,1.2592606279972638,0.0030165912518853697
0.22,3.2,4,0.7332438202104445,0.1204899091313251,0.7787792946563645,0.2861548736821279,0.5348935259659089,0.6398859112246906,0.0
0.22,3.2,10,0.7211168256296471,0.1478008315599068,0.813375572079975,0.610754690165583,0.8628561139167271,1.2058684732370801,0.006033182503770739
0.22,3.25,4,0.7339324721112934,0.1182144055499558,0.7769115777570993,0.2642837572051828,0.5075681932024785,0.6188725649751923,0.0
